Origin,Dest,Distance
EWR,JFK,21
WRG,PSG,31
PSG,WRG,31
LAX,SNA,36
JNU,GST,41
GST,JNU,41
PLN,CIU,49
SWF,LGA,52
SAV,BQK,62
MIA,PBI,62
RHI,IMT,67
ORD,MKE,67
MKE,ORD,67
CWA,ATW,67
IMT,RHI,67
SJU,STT,68
STT,SJU,68
MEI,PIB,69
PIB,MEI,69
MVY,BOS,70
BOS,MVY,70
DEN,COS,73
COS,DEN,73
CLL,IAH,74
DTW,LAN,74
LAN,DTW,74
IAH,CLL,74
MSP,RST,76
RST,MSP,76
MRY,SFO,77
SFO,MRY,77
EWR,PHL,80
KTN,WRG,82
WRG,KTN,82
CLT,GSO,83
ATL,CSG,83
GSO,CLT,83
JMS,DVL,83
DVL,JMS,83
CSG,ATL,83
ORD,SBN,84
SBN,ORD,84
GSO,ROA,84
KOA,OGG,84
OGG,KOA,84
SFO,SMF,86
HIB,INL,86
LAX,CLD,86
SMF,SFO,86
CLD,LAX,86
INL,HIB,86
FAR,JMS,88
SBA,LAX,89
DFW,ACT,89
GJT,ASE,89
ACT,DFW,89
LAX,SBA,89
PHL,BWI,90
BWI,PHL,90
BOS,ACK,91
ACK,BOS,91
BIL,COD,92
SEA,BLI,93
BLI,SEA,93
EWR,AVP,93
AVP,EWR,93
SJU,STX,94
STX,SJU,94
SIT,JNU,95
CLE,DTW,95
DTW,CLE,95
JNU,SIT,95
LGA,PHL,96
PHL,LGA,96
FCA,MSO,97
MBS,DTW,98
DTW,MBS,98
IAD,RIC,100
HNL,OGG,100
RIC,IAD,100
OGG,HNL,100
MSO,BTM,101
DFW,TYR,102
TYR,DFW,102
HNL,LIH,102
LIH,HNL,102
ATL,CHA,106
CHA,ATL,106
CRP,HRL,107
LBB,AMA,107
ORD,MSN,108
MSN,ORD,108
PUB,DEN,109
SAN,LAX,109
LAX,SAN,109
DEN,PUB,109
PHX,TUS,110
TUS,PHX,110
LAX,PSP,110
PSP,LAX,110
DFW,SPS,113
DTW,AZO,113
DEN,LAR,113
LAR,DEN,113
SPS,DFW,113
AZO,DTW,113
MSP,BRD,114
BRD,MSP,114
MSN,CWA,114
ORD,BMI,116
BMI,ORD,116
BDL,EWR,116
EWR,BDL,116
MKG,ORD,118
ORD,MKG,118
LSE,MSP,119
PHL,DCA,119
FLG,PHX,119
DCA,PHL,119
MSP,LSE,119
PHX,FLG,119
DTW,GRR,120
EGE,DEN,120
GRR,DTW,120
DEN,EGE,120
ITO,OGG,121
OGG,ITO,121
ORD,AZO,122
AZO,ORD,122
PSG,JNU,123
JNU,PSG,123
EYW,MIA,125
ASE,DEN,125
DEN,ASE,125
MIA,EYW,125
GCC,RAP,125
LCH,IAH,127
IAH,LCH,127
DTW,FWA,128
FWA,DTW,128
PDX,SEA,129
SEA,PDX,129
ORD,PIA,130
RDU,CLT,130
CLT,RDU,130
PIA,ORD,130
SLC,VEL,132
VEL,SLC,132
DTW,CAK,133
CAK,DTW,133
BHM,ATL,134
LAX,SMX,134
GRK,DFW,134
ATL,BHM,134
SMX,LAX,134
DFW,GRK,134
ORD,CMI,135
CMI,ORD,135
GRR,ORD,137
ORD,GRR,137
STL,PIA,137
ORD,MLI,139
MLI,ORD,139
LAW,DFW,140
GGG,DFW,140
DFW,LAW,140
IAH,AUS,140
AUS,IAH,140
DFW,GGG,140
HDN,DEN,141
DEN,HDN,141
AGS,ATL,143
ALB,EWR,143
ATL,AGS,143
ORF,DCA,143
EWR,ALB,143
DLH,MSP,144
LRD,HRL,144
MSP,DLH,144
ABY,ATL,145
ATL,ABY,145
MGM,ATL,147
DBQ,ORD,147
ORD,DBQ,147
ATL,MGM,147
AUS,HOU,148
HOU,AUS,148
MSN,CID,149
SLC,PIH,150
PIH,SLC,150
HSV,ATL,151
ATL,HSV,151
MCI,LNK,152
ATL,TYS,152
GPT,VPS,152
TYS,ATL,152
DEN,GUC,152
GUC,DEN,152
ATL,GSP,153
BRD,INL,153
INL,BRD,153
GSP,ATL,153
RDU,PHF,154
DTW,CMH,155
CMH,DTW,155
